0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,2,0,3,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,3,0,3,0,12,0,1,0,3,0,8,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,
0,1,0,4,0,15,0,10,0,5,1,25,1,55,1,38,1,15,0,1,0,0,0,0,0,0,0,0,0,0,
0,1,0,8,0,17,0,16,2,34,4,123,6,189,9,138,4,47,0,4,0,0,0,0,0,0,0,0,0,0,
0,1,0,6,0,23,1,33,11,150,28,387,53,554,39,346,18,99,1,15,0,0,0,0,0,0,0,0,0,0,
0,1,0,8,0,30,9,113,45,442,105,981,156,1177,147,647,57,168,9,20,0,0,0,0,0,0,0,0,0,0,
0,1,0,10,3,55,40,272,153,978,321,1869,443,1899,288,994,87,219,16,14,0,0,0,0,0,0,0,0,0,0,
0,1,0,13,18,101,101,541,329,1684,663,2802,773,2527,469,1177,141,189,9,8,0,0,0,0,0,0,0,0,0,0,
0,1,5,17,45,175,205,860,578,2326,1045,3368,1169,2651,645,1030,125,121,9,3,0,0,0,0,0,0,0,0,0,0,
0,1,7,19,65,223,277,1069,837,2551,1413,3313,1336,2210,612,656,95,60,4,1,0,0,0,0,0,0,0,0,0,0,
0,1,5,21,65,249,367,1079,955,2281,1466,2597,1153,1417,433,294,45,24,1,0,0,0,0,0,0,0,0,0,0,0,
0,1,3,25,78,244,344,890,881,1732,1241,1589,834,653,211,86,22,1,0,0,0,0,0,0,0,0,0,0,0,0,
0,1,8,24,59,196,315,642,690,1019,843,736,430,210,73,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,1,7,22,60,150,209,361,512,433,451,223,157,49,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,1,2,18,42,85,155,172,251,134,150,48,36,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,1,2,7,28,31,96,52,85,30,39,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,1,3,18,7,32,7,23,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,2,0,4,2,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
