0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,1,1,1,1,5,7,5,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,2,3,6,8,9,11,14,17,14,10,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,2,3,6,8,15,29,39,45,50,44,26,15,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,2,7,12,18,30,50,77,97,101,86,62,36,15,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,2,7,12,22,48,90,137,187,215,186,136,92,51,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,2,5,12,30,70,142,241,331,366,339,256,151,70,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,2,5,13,36,90,182,314,447,494,447,350,229,110,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,2,11,43,122,278,493,690,798,747,555,327,138,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,2,11,43,118,266,471,642,710,653,495,287,106,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,1,11,48,156,365,652,944,1086,988,714,378,124,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,1,10,38,117,263,441,598,655,574,389,178,44,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,1,7,39,129,308,577,829,927,817,528,218,48,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,1,5,25,75,158,269,357,363,283,154,48,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,3,17,63,168,317,451,495,390,196,54,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,2,9,26,60,99,117,104,66,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,3,17,49,99,145,143,87,29,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,1,5,11,15,15,11,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,1,6,15,20,15,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
